date,year,quarter,month_number,month_name,region,zone,main_city,visitor_type,travel_purpose,accommodation_type,visitors,tourist_nights,spend_sar,rooms_available,rooms_sold,occupancy_rate,average_daily_rate_sar,room_revenue_sar,cancellation_rate,satisfaction_score
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Leisure,Hotel,6221,12892,6468819,15305,3469,0.2267,602.11,2088708,0.1095,4.46
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Leisure,Serviced Apartment,2303,5086,2388233,7785,1429,0.1836,349.79,499843,0.0269,4.01
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Leisure,Resort,1199,2593,1184185,5280,808,0.153,834.25,674077,0.0717,3.91
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Leisure,Other Paid Accommodation,1144,2427,1091286,6990,630,0.0901,276.59,174252,0.055,4.61
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Business,Hotel,2812,5310,2691306,7749,1487,0.1919,517.4,769379,0.0368,4.32
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Business,Serviced Apartment,1192,2544,1220225,6381,605,0.0948,389.22,235475,0.0585,4.41
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Business,Resort,631,1102,542615,5505,284,0.0516,891.17,253093,0.0958,4.5
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Business,Other Paid Accommodation,525,1070,527082,6716,281,0.0418,278.99,78397,0.0423,3.85
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Religious,Hotel,468,1671,803605,6664,474,0.0711,581.93,275835,0.079,4.65
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Religious,Serviced Apartment,175,632,257274,6068,175,0.0288,403.12,70546,0.0723,3.65
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Religious,Resort,94,316,166162,4614,80,0.0173,815.5,65239,0.0929,4.35
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Religious,Other Paid Accommodation,84,285,138456,6087,73,0.012,275.78,20131,0.0602,3.78
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Family Visit,Hotel,3243,6979,3371891,9343,1672,0.179,592.95,991414,0.0614,4.07
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Family Visit,Serviced Apartment,1250,2726,1465665,6939,767,0.1105,410.54,314884,0.022,4.14
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Family Visit,Resort,694,1799,858888,6281,493,0.0785,770.17,379692,0.0986,4.46
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Family Visit,Other Paid Accommodation,673,1290,675512,4548,373,0.082,332.83,124144,0.0452,4.01
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Events,Hotel,2128,4254,1863514,8072,1056,0.1308,636.85,672511,0.047,4.66
2022-01-01,2022,Q1,1,Jan,Riyadh,Central,Riyadh,Domestic,Events,Serviced Apartment,791,1610,815586,4885,451,0.0923,456.19,205740,0.0298,4.2
